display_name,category,parent_brand,value_key,payer_id,notes
American Shipping & Logistics Group Inc.,Commercial,,american-shipping-and-logistics-group-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Specialty Health Insurance Company,Commercial,,american-specialty-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"American Specialty Health Plans of California, Inc.",Commercial,,american-specialty-health-plans-of-california-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American States Insurance Company,Commercial,,american-states-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Underwriters Life Insurance Company,Commercial,,american-underwriters-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Amerigroup Texas, Inc.",Commercial,Amerigroup (Anthem),amerigroup-texas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Amerihealth Caritas Iowa,Commercial,AmeriHealth,amerihealth-caritas-iowa,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ameritas Life Insurance Corp.,Commercial,,ameritas-life-insurance-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ameritas Life Insurance Corp. Of NY,Commercial,,ameritas-life-insurance-corp-of-ny,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Angle Insurance Company of Utah,Commercial,,angle-insurance-company-of-utah,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ansaldo STS USA,Commercial,,ansaldo-sts-usa,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem BC Life & Health Co(Anthem BC),Commercial,Anthem Blue Cross Blue Shield,anthem-bc-life-and-health-co-anthem-bc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Blue Cross,Medicare Advantage,Anthem Blue Cross Blue Shield,anthem-blue-cross,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Blue Cross Life and Health Insurance Company,Medicare Advantage,Anthem Blue Cross Blue Shield,anthem-blue-cross-life-and-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem Blue Cross Life and Health Insurance Company, Inc.",Commercial,Anthem Blue Cross Blue Shield,anthem-blue-cross-life-and-health-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Blue Cross Partnership Plan,Medicare Advantage,Anthem Blue Cross Blue Shield,anthem-blue-cross-partnership-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Blue Cross and Blue Shield,Medicare Advantage,Anthem Blue Cross Blue Shield,anthem-blue-cross-and-blue-shield,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Blue Cross and Blue Shield,Commercial,Anthem Blue Cross Blue Shield,anthem-blue-cross-and-blue-shield,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Blue Cross and Blue Shield HP,Medicare Advantage,Anthem Blue Cross Blue Shield,anthem-blue-cross-and-blue-shield-hp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem HP, LLC",Commercial,Anthem Blue Cross Blue Shield,anthem-hp-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Health Plans Inc(Anthem BCBS),Commercial,Anthem Blue Cross Blue Shield,anthem-health-plans-inc-anthem-bcbs,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem Health Plans of Kentucky, Inc.",Commercial,Anthem Blue Cross Blue Shield,anthem-health-plans-of-kentucky-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Health Plans of ME(Anthem BCBS),Commercial,Anthem Blue Cross Blue Shield,anthem-health-plans-of-me-anthem-bcbs,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem Health Plans of Maine, Inc.",Commercial,Anthem Blue Cross Blue Shield,anthem-health-plans-of-maine-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Health Plans of NH(Anthem BCBS),Commercial,Anthem Blue Cross Blue Shield,anthem-health-plans-of-nh-anthem-bcbs,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem Health Plans of New Hampshire, Inc.",Commercial,Anthem Blue Cross Blue Shield,anthem-health-plans-of-new-hampshire-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem Health Plans of Virginia, Inc.",Commercial,Anthem Blue Cross Blue Shield,anthem-health-plans-of-virginia-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem Health Plans, Inc.",Commercial,Anthem Blue Cross Blue Shield,anthem-health-plans-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem HealthChoice Assurance, Inc.",Commercial,Anthem Blue Cross Blue Shield,anthem-healthchoice-assurance-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem HealthChoice HMO Inc,Commercial,Anthem Blue Cross Blue Shield,anthem-healthchoice-hmo-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem HealthKeepers,Medicare Advantage,Anthem Blue Cross Blue Shield,anthem-healthkeepers,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Anthem Ins Companies Inc(Anthem BCBS),Commercial,Anthem Blue Cross Blue Shield,anthem-ins-companies-inc-anthem-bcbs,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem Insurance Companies, Inc.",Commercial,Anthem Blue Cross Blue Shield,anthem-insurance-companies-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Anthem Insurance Companies, Inc.",Medicare Advantage,Anthem Blue Cross Blue Shield,anthem-insurance-companies-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Antidote Health Plan of Arizona, Inc.",Commercial,,antidote-health-plan-of-arizona-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Antidote Health Plan of Ohio,Commercial,,antidote-health-plan-of-ohio,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Apex Tool Group, LLC",Commercial,,apex-tool-group-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Appalachian Agency for Senior Citizens, Inc",Medicare Advantage,,appalachian-agency-for-senior-citizens-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Applied Industrial Technologies, Inc.",Commercial,,applied-industrial-technologies-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ArchCare Senior Life,Medicare Advantage,,archcare-senior-life,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Arches Mutual Insurance Company,Commercial,,arches-mutual-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Argus Dental & Vision, Inc",Commercial,,argus-dental-and-vision-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Arizona Dental Insurance Service, Inc.",Commercial,,arizona-dental-insurance-service-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Arizona Pipeline Company,Commercial,,arizona-pipeline-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Arkansas Blue Medicare,Medicare Advantage,Medicare,arkansas-blue-medicare,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ascension Complete,Medicare Advantage,,ascension-complete,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ascension Living Alexian PACE,Medicare Advantage,,ascension-living-alexian-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ascension Living HOPE,Medicare Advantage,,ascension-living-hope,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ascension Living PACE Michigan,Medicare Advantage,,ascension-living-pace-michigan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ascension Living St. Vincent PACE,Medicare Advantage,,ascension-living-st-vincent-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aspire Health,Medicare Advantage,,aspire-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Aspirus Arise Health Plan of Michigan, Inc.",Commercial,,aspirus-arise-health-plan-of-michigan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aspirus Health Plan,Medicare Advantage,,aspirus-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Aspirus Health Plan, Inc.",Commercial,,aspirus-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Associated Mutual Insurance,Commercial,,associated-mutual-insurance,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Association Mutual Health Insurance Company,Commercial,,association-mutual-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Assurity Life Insurance Company,Commercial,,assurity-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Astiva Health,Medicare Advantage,,astiva-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
